"Attribute","Value","Fórmula 1","NumericValue"
"","","",31
"Actual","Temporada 2024","Temporada 2024",79
"Categoría","Monoplazas","Monoplazas",51
"Fundación","1950","1950",14
"Director general","Stefano Domenicali(presidente y director ejecutivo)[1]<U+200B> Ross Brawn(director deportivo) Chase Carey(presidente no ejecutivo)[1]<U+200B>","Stefano Domenicali(presidente y director ejecutivo)[1]<U+200B> Ross Brawn(director deportivo) Chase Carey(presidente no ejecutivo)[1]<U+200B>",67
"Lema","«We Race As One»","«We Race As One»",42
"Temporada inicial","Temporada 1950","Temporada 1950",50
"Ámbito","Mundial","Mundial",43
"Campeones","Campeones","Campeones",14
"Piloto campeón","Max Verstappen(2023)","Max Verstappen(2023)",25
"Constructor campeón","Red Bull-Honda RBPT(2023)","Red Bull-Honda RBPT(2023)",90
"Participantes","Participantes","Participantes",91
"Pilotos","20","20",69
"Escuderías","Red Bull Mercedes Ferrari McLaren Aston Martin Aramco Alpine Williams RB Kick Sauber Haas","Red Bull Mercedes Ferrari McLaren Aston Martin Aramco Alpine Williams RB Kick Sauber Haas",91
"Motores","Honda RBPT Mercedes Ferrari Renault","Honda RBPT Mercedes Ferrari Renault",57
"Neumáticos","P Pirelli","P Pirelli",92
"Más campeonatos","Más campeonatos","Más campeonatos",9
"Piloto","Michael Schumacher (7) Lewis Hamilton (7)","Michael Schumacher (7) Lewis Hamilton (7)",93
"Constructor","Ferrari (16)","Ferrari (16)",99
"Sitio oficial","Sitio oficial","Sitio oficial",72
"[editar datos en Wikidata]","[editar datos en Wikidata]","[editar datos en Wikidata]",26
